model_label,freesurfer_roi
totalgreymatter,TotalGrayVol
totalwhitematter,CerebralWhiteMatterVol
leftbrainpercent,lhCortexVol
rightbrainpercent,rhCortexVol
wholebrainvolume,EstimatedTotalIntraCranialVol
lhpialDKbankssts,lh_bankssts_volume
lhpialDKcaudalanteriorcingulate,lh_caudalanteriorcingulate_volume
lhpialDKcaudalmiddlefrontal,lh_caudalmiddlefrontal_volume
lhpialDKcuneus,lh_cuneus_volume
lhpialDKentorhinal,lh_entorhinal_volume
lhpialDKfusiform,lh_fusiform_volume
lhpialDKinferiorparietal,lh_inferiorparietal_volume
lhpialDKinferiortemporal,lh_inferiortemporal_volume
lhpialDKisthmuscingulate,lh_isthmuscingulate_volume
lhpialDKlateraloccipital,lh_lateraloccipital_volume
lhpialDKlateralorbitofrontal,lh_lateralorbitofrontal_volume
lhpialDKlingual,lh_lingual_volume
lhpialDKmedialorbitofrontal,lh_medialorbitofrontal_volume
lhpialDKmiddletemporal,lh_middletemporal_volume
lhpialDKparahippocampal,lh_parahippocampal_volume
lhpialDKparacentral,lh_paracentral_volume
lhpialDKparsopercularis,lh_parsopercularis_volume
lhpialDKparsorbitalis,lh_parsorbitalis_volume
lhpialDKparstriangularis,lh_parstriangularis_volume
lhpialDKpericalcarine,lh_pericalcarine_volume
lhpialDKpostcentral,lh_postcentral_volume
lhpialDKposteriorcingulate,lh_posteriorcingulate_volume
lhpialDKprecentral,lh_precentral_volume
lhpialDKprecuneus,lh_precuneus_volume
lhpialDKrostralanteriorcingulate,lh_rostralanteriorcingulate_volume
lhpialDKrostralmiddlefrontal,lh_rostralmiddlefrontal_volume
lhpialDKsuperiorfrontal,lh_superiorfrontal_volume
lhpialDKsuperiorparietal,lh_superiorparietal_volume
lhpialDKsuperiortemporal,lh_superiortemporal_volume
lhpialDKsupramarginal,lh_supramarginal_volume
lhpialDKfrontalpole,lh_frontalpole_volume
lhpialDKtemporalpole,lh_temporalpole_volume
lhpialDKtransversetemporal,lh_transversetemporal_volume
lhpialDKinsula,lh_insula_volume
rhpialDKbankssts,rh_bankssts_volume
rhpialDKcaudalanteriorcingulate,rh_caudalanteriorcingulate_volume
rhpialDKcaudalmiddlefrontal,rh_caudalmiddlefrontal_volume
rhpialDKcuneus,rh_cuneus_volume
rhpialDKentorhinal,rh_entorhinal_volume
rhpialDKfusiform,rh_fusiform_volume
rhpialDKinferiorparietal,rh_inferiorparietal_volume
rhpialDKinferiortemporal,rh_inferiortemporal_volume
rhpialDKisthmuscingulate,rh_isthmuscingulate_volume
rhpialDKlateraloccipital,rh_lateraloccipital_volume
rhpialDKlateralorbitofrontal,rh_lateralorbitofrontal_volume
rhpialDKlingual,rh_lingual_volume
rhpialDKmedialorbitofrontal,rh_medialorbitofrontal_volume
rhpialDKmiddletemporal,rh_middletemporal_volume
rhpialDKparahippocampal,rh_parahippocampal_volume
rhpialDKparacentral,rh_paracentral_volume
rhpialDKparsopercularis,rh_parsopercularis_volume
rhpialDKparsorbitalis,rh_parsorbitalis_volume
rhpialDKparstriangularis,rh_parstriangularis_volume
rhpialDKpericalcarine,rh_pericalcarine_volume
rhpialDKpostcentral,rh_postcentral_volume
rhpialDKposteriorcingulate,rh_posteriorcingulate_volume
rhpialDKprecentral,rh_precentral_volume
rhpialDKprecuneus,rh_precuneus_volume
rhpialDKrostralanteriorcingulate,rh_rostralanteriorcingulate_volume
rhpialDKrostralmiddlefrontal,rh_rostralmiddlefrontal_volume
rhpialDKsuperiorfrontal,rh_superiorfrontal_volume
rhpialDKsuperiorparietal,rh_superiorparietal_volume
rhpialDKsuperiortemporal,rh_superiortemporal_volume
rhpialDKsupramarginal,rh_supramarginal_volume
rhpialDKfrontalpole,rh_frontalpole_volume
rhpialDKtemporalpole,rh_temporalpole_volume
rhpialDKtransversetemporal,rh_transversetemporal_volume
rhpialDKinsula,rh_insula_volume
Left-Thalamus,Left.Thalamus
Left-Caudate,Left.Caudate
Left-Putamen,Left.Putamen
Left-Pallidum,Left.Pallidum
Left-Hippocampus,Left.Hippocampus
Left-Amygdala,Left.Amygdala
Left-Accumbens-area,Left.Accumbens.area
Right-Thalamus,Right.Thalamus
Right-Caudate,Right.Caudate
Right-Putamen,Right.Putamen
Right-Pallidum,Right.Pallidum
Right-Hippocampus,Right.Hippocampus
Right-Amygdala,Right.Amygdala
Right-Accumbens-area,Right.Accumbens.area
Left-Cerebellum-Cortex,Left.Cerebellum.Cortex
Right-Cerebellum-Cortex,Right.Cerebellum.Cortex
